Date,Customer_ID,Customer_Name,Channel,Region,Product_Type,SKU_ID,Shelf_Life,Units_Delivered,Units_Sold,Returns_Units,Waste_Units,Net_Sales_Units,Price_per_Unit,Revenue,Cost_per_Unit,Margin_Pct,Promotion,Discount_Rate,Stock_Out,Delivery_Delay,Sales_Rep_Efficiency_Score,Customer_Type,Repeat_Order
2024-12-17,CUST-0101,QuickStop #101,Supermarket,suburban,Whole Wheat,SKU-WW-002,4,264,221,16,9,205,1.5,331.5,0.9,40.0,No,0.0,No,0,73.2,High Volume,Yes
2024-12-23,CUST-0135,Golden Crust #135,Bakery Shop,urban,White Bread,SKU-WB-001,3,36,27,4,2,23,1.2,32.4,0.72,40.0,No,0.0,No,0,58.1,Medium,Yes
2024-08-05,CUST-0040,MetroMart #40,Supermarket,urban,White Bread,SKU-WB-001,3,314,238,17,27,221,1.2,285.6,0.72,40.0,No,0.0,No,0,73.4,High Volume,Yes
2024-10-05,CUST-0040,MetroMart #40,Supermarket,urban,Whole Wheat,SKU-WW-002,4,323,274,20,10,254,1.5,411.0,0.9,40.0,No,0.0,No,0,71.5,High Volume,Yes
2024-10-23,CUST-0060,Classic Bread #60,Bakery Shop,suburban,Toast Bread,SKU-TB-005,5,16,9,3,1,6,1.4,12.6,0.8,42.86,No,0.0,No,0,43.3,Low,Yes
2024-09-11,CUST-0200,Sweet Crust #200,Bakery Shop,urban,Lavash,SKU-LV-004,5,29,16,5,3,11,0.9,14.4,0.5,44.44,No,0.0,No,0,43.0,Low,No
2024-11-19,CUST-0027,Plaza Bistro #27,Horeca,urban,Toast Bread,SKU-TB-005,5,26,14,5,3,9,1.4,19.6,0.8,42.86,No,0.0,No,0,40.7,Low,Yes
2024-10-24,CUST-0090,QuickStop #90,Supermarket,suburban,White Bread,SKU-WB-001,3,200,164,10,12,154,1.2,196.8,0.72,40.0,No,0.0,No,0,80.3,High Volume,Yes
2024-12-14,CUST-0086,Urban Grill #86,Horeca,rural,Whole Wheat,SKU-WW-002,4,116,114,2,0,112,1.24,141.25,0.9,27.36,Yes,17.4,No,2,80.4,High Volume,Yes
2024-12-03,CUST-0136,NearStop #136,Minimarket,rural,Lavash,SKU-LV-004,5,80,53,11,9,42,0.9,47.7,0.5,44.44,No,0.0,No,1,43.9,Medium,Yes
2024-11-15,CUST-0005,FreshMart #5,Supermarket,suburban,Toast Bread,SKU-TB-005,5,326,270,20,13,250,1.4,378.0,0.8,42.86,No,0.0,No,1,79.8,High Volume,No
2024-07-18,CUST-0135,Golden Crust #135,Bakery Shop,urban,Toast Bread,SKU-TB-005,5,55,36,6,3,30,1.4,50.4,0.8,42.86,No,0.0,No,0,55.9,Medium,Yes
2024-09-30,CUST-0018,Morning Loaf #18,Bakery Shop,rural,Baguette,SKU-BG-003,1,46,26,10,5,16,1.8,46.8,1.0,44.44,No,0.0,No,0,59.6,Medium,Yes
